sentence,cluster,orig_idx,title,umap_x,umap_y
more than 200 dead in air india crash near ahmedabad an air india flight en route to london crashed shortly after takeoff from ahmedabad killing more than 200 people officials confirmed.,23,20,more than 200 dead in air india crash near ahmedabad,0.1121197,7.388785
the aircraft was carrying 242 passengers and crew when it went down minutes into the flight.,5,20,more than 200 dead in air india crash near ahmedabad,1.7044139,8.807575
authorities have begun recovery operations and launched an investigation into the cause of the crash.,14,20,more than 200 dead in air india crash near ahmedabad,0.59132636,3.546156
x ?more than 200 dead in air india crash near ahmedabad,23,20,more than 200 dead in air india crash near ahmedabad,0.22344287,7.0695944
boeing officials visited the site of air india plane crash that killed at least 271 people on sunday june 15 .,13,21,us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,1.4252297,4.510586
earlier officials from the u.s. national transportation safety board ntsb and u.s. federal aviation administration surveyed the crash site.,13,21,us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,1.3798879,4.4201636
the boeing 787 8 dreamliner with 242 people on board bound for gatwick airport south of london began losing height seconds after take off in ahmedabad on thursday and erupted in a huge fireball as it hit buildings below.,-1,21,us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,1.0811353,8.53208
all but one on board were declared dead in the world s worst aviation disaster in a decade.,-1,21,us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,1.3820032,7.298863
around 30 people died on the ground.,21,21,us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,1.9987813,6.7155423
air india and the indian government were looking at several aspects of the crash including issues linked to its engine thrust flaps and why the landing gear remained open as the plane took off and then came down.,13,21,us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,0.8259643,3.947244
enjoy and stay connected with us!! ?,0,21,us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,8.913269,3.0435128
email to anicontent aniin.com internetani aniin.com ?us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,13,21,us ntsb and boeing officials visit air india ai 171 crash site in ahmedabad,1.2830306,4.4446864
a plane crash has been reported near the ahmedabad airport.,22,22,ahmedabad plane crash air india flight carrying 133 passengers crashes near airport,-0.8640368,7.822302
the fire brigade has been rushed to the spot.,1,22,ahmedabad plane crash air india flight carrying 133 passengers crashes near airport,-0.7605859,2.2912152
according to preliminary information the aircraft crashed shortly after takeoff near meghaninagar.,10,22,ahmedabad plane crash air india flight carrying 133 passengers crashes near airport,-1.2807887,4.7196636
smoke is visible as far as vastrapur.ahmedabad plane crash air india flight carrying 133 passengers crashes near airport,11,22,ahmedabad plane crash air india flight carrying 133 passengers crashes near airport,-2.116599,3.6463168
footage recorded near the site of the air india plane crash showed people helping a man walking toward an ambulance.,25,23,at least one survivor from air india plane crash ahmedabad police say,-0.4221285,5.1551194
when i got up there were bodies all around me.,16,23,at least one survivor from air india plane crash ahmedabad police say,2.8170514,6.022811
i was scared.,16,23,at least one survivor from air india plane crash ahmedabad police say,2.8273592,6.0043836
i stood up and ran ramesh told the hindustan times briton is sole survivor of air india plane crash that killed more than 290 police say ?,24,23,at least one survivor from air india plane crash ahmedabad police say,1.4402778,5.504361
contribute to the guardian today ?at least one survivor from air india plane crash ahmedabad police say,-1,23,at least one survivor from air india plane crash ahmedabad police say,1.4911877,5.432322
241 people lost their lives when air india flight ai 171 crashed shortly after takeoff from ahmedabad to london.,23,24,live ahmedabad plane crash air india ordered safety checks after ai 171 disaster,0.56993926,7.512938
now the dgca has ordered urgent safety inspections of air india s boeing 787 8 and 787 9 aircraft.,-1,24,live ahmedabad plane crash air india ordered safety checks after ai 171 disaster,0.46842343,4.8528113
pm modi visited the crash site grieving families gave dna samples and investigators recovered the black box.,15,24,live ahmedabad plane crash air india ordered safety checks after ai 171 disaster,1.8886304,3.958792
a global probe has begun with u.s. and u.k. aviation teams joining the investigation.,13,24,live ahmedabad plane crash air india ordered safety checks after ai 171 disaster,1.1752586,4.0739117
.............................................................................................. news9 is india s first fully integrated english news brand across all digital platforms.,7,24,live ahmedabad plane crash air india ordered safety checks after ai 171 disaster,12.628095,-0.5249946
it includes a publishing platform viz.,7,24,live ahmedabad plane crash air india ordered safety checks after ai 171 disaster,12.650023,-0.55344796
live ahmedabad plane crash air india ordered safety checks after ai 171 disaster,26,24,live ahmedabad plane crash air india ordered safety checks after ai 171 disaster,0.32293612,5.211941
pilots last words were govt on air india flight crash in ahmedabad,18,25,pilots last words were govt on air india flight crash in ahmedabad,1.0230844,6.137276
an air india flight from ahmedabad to london gatwick operating as flight ai171 crashed shortly after takeoff on june 12 2025.,-1,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,-0.2692585,6.9291906
the aircraft involved was a boeing 787 8 dreamliner with 230 passengers and 12 crew members on board.,5,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,1.5843468,8.641907
according to authorities the flight included 169 indian nationals 53 british nationals one canadian and seven portuguese nationals.,6,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,1.4384388,8.057377
the aircraft departed from runway 23 of sardar vallabhbhai patel international airport ahmedabad at 1 39 pm ist and issued a mayday distress call soon after.,-1,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,0.6294665,6.094174
as per the directorate general of civil aviation dgca the plane crashed just outside the ahmedabad airport perimeter with thick black smoke reported at the crash site.,-1,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,-0.8295609,7.163239
the pilot in command captain sumit sabharwal had over 8 200 hours of flying experience.,17,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,1.3350098,6.858589
the co pilot had clocked in around 1 100 hours.,17,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,1.4165497,6.7273197
thank you for watching our video!,0,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,8.920916,3.0737796
we promise to deliver quality journalism that stays away from vested interest and political propaganda.ahmedabad plane crash air india flight ai171 crashes 242 on board,-1,26,ahmedabad plane crash air india flight ai171 crashes 242 on board,1.1863228,5.192038
in a miraculous turn amid tragedy one passenger vishwash kumar seated on 11a survived the devastating air india boeing 787 crash in ahmedabad on june 12 2025.,16,27,miracle air india passenger emerges after ahmedabad plane crash reveals survival story watch,2.940635,6.5333805
vishwash recounted the horror of waking up surrounded by bodies and debris managing to escape the wreckage and reach safety.,16,27,miracle air india passenger emerges after ahmedabad plane crash reveals survival story watch,2.957119,6.1380715
his survival story has brought a glimmer of hope as rescue teams continue their search for more survivors.,16,27,miracle air india passenger emerges after ahmedabad plane crash reveals survival story watch,3.075839,6.3027606
india newsmiracle air india passenger emerges after ahmedabad plane crash reveals survival story watch,-1,27,miracle air india passenger emerges after ahmedabad plane crash reveals survival story watch,1.3075386,5.4714737
the indian civil aviation minister has confirmed that a formal investigation has been launched by the aircraft accident investigation bureau following the fatal plane crash in ahmedabad.,13,28,air india crash what could have gone wrong,1.2067564,4.1945653
our science correspondent thomas moore has been looking at what could have gone wrong.air india crash what could have gone wrong,13,28,air india crash what could have gone wrong,0.813654,4.164038
